"previous_SSID , next_SSID",History_SessionTime
"('new-ssid-0', 'new-ssid-1')","{'time': 10, 'session_time': 10}"
"('new-ssid-0', 'new-ssid-7')","{'time': 10, 'session_time': 10}"
"('new-ssid-1', 'new-ssid-2')","{'time': 245, 'session_time': 19}"
"('new-ssid-1', 'new-ssid-2')","{'time': 401, 'session_time': 98}"
"('new-ssid-1', 'new-ssid-2')","{'time': 464, 'session_time': 35}"
"('new-ssid-1', 'new-ssid-2')","{'time': 564, 'session_time': 58}"
"('new-ssid-1', 'new-ssid-2')","{'time': 983, 'session_time': 61}"
"('new-ssid-1', 'new-ssid-2')","{'time': 1308, 'session_time': 60}"
"('new-ssid-1', 'new-ssid-2')","{'time': 1872, 'session_time': 53}"
"('new-ssid-1', 'new-ssid-2')","{'time': 2035, 'session_time': 23}"
"('new-ssid-1', 'new-ssid-4')","{'time': 27, 'session_time': 16}"
"('new-ssid-1', 'new-ssid-4')","{'time': 2058, 'session_time': 90}"
"('new-ssid-1', 'new-ssid-4')","{'time': 2379, 'session_time': 38}"
"('new-ssid-2', 'new-ssid-1')","{'time': 303, 'session_time': 14}"
"('new-ssid-2', 'new-ssid-1')","{'time': 429, 'session_time': 28}"
"('new-ssid-2', 'new-ssid-1')","{'time': 505, 'session_time': 37}"
"('new-ssid-2', 'new-ssid-1')","{'time': 1248, 'session_time': 22}"
"('new-ssid-2', 'new-ssid-1')","{'time': 1819, 'session_time': 511}"
"('new-ssid-2', 'new-ssid-1')","{'time': 1968, 'session_time': 25}"
"('new-ssid-2', 'new-ssid-3')","{'time': 226, 'session_time': 109}"
"('new-ssid-2', 'new-ssid-3')","{'time': 388, 'session_time': 27}"
"('new-ssid-2', 'new-ssid-3')","{'time': 1894, 'session_time': 22}"
"('new-ssid-2', 'new-ssid-3')","{'time': 2094, 'session_time': 58}"
"('new-ssid-2', 'new-ssid-3')","{'time': 2190, 'session_time': 46}"
"('new-ssid-2', 'new-ssid-5')","{'time': 279, 'session_time': 33}"
"('new-ssid-2', 'new-ssid-5')","{'time': 476, 'session_time': 12}"
"('new-ssid-2', 'new-ssid-5')","{'time': 577, 'session_time': 13}"
"('new-ssid-2', 'new-ssid-5')","{'time': 795, 'session_time': 28}"
"('new-ssid-2', 'new-ssid-5')","{'time': 998, 'session_time': 15}"
"('new-ssid-3', 'new-ssid-2')","{'time': 1225, 'session_time': 44}"
"('new-ssid-3', 'new-ssid-2')","{'time': 2144, 'session_time': 46}"
"('new-ssid-3', 'new-ssid-5')","{'time': 2299, 'session_time': 108}"
"('new-ssid-3', 'new-ssid-6')","{'time': 237, 'session_time': 11}"
"('new-ssid-3', 'new-ssid-6')","{'time': 410, 'session_time': 22}"
"('new-ssid-3', 'new-ssid-6')","{'time': 847, 'session_time': 49}"
"('new-ssid-3', 'new-ssid-6')","{'time': 1922, 'session_time': 28}"
"('new-ssid-4', 'new-ssid-1')","{'time': 226, 'session_time': 33}"
"('new-ssid-4', 'new-ssid-1')","{'time': 922, 'session_time': 26}"
"('new-ssid-4', 'new-ssid-1')","{'time': 2012, 'session_time': 436}"
"('new-ssid-4', 'new-ssid-1')","{'time': 2341, 'session_time': 19}"
"('new-ssid-4', 'new-ssid-2')","{'time': 361, 'session_time': 23}"
"('new-ssid-4', 'new-ssid-2')","{'time': 767, 'session_time': 123}"
"('new-ssid-4', 'new-ssid-5')","{'time': 18, 'session_time': 2}"
"('new-ssid-4', 'new-ssid-5')","{'time': 2082, 'session_time': 24}"
"('new-ssid-4', 'new-ssid-7')","{'time': 51, 'session_time': 24}"
"('new-ssid-4', 'new-ssid-7')","{'time': 314, 'session_time': 12}"
"('new-ssid-4', 'new-ssid-7')","{'time': 681, 'session_time': 9}"
"('new-ssid-4', 'new-ssid-7')","{'time': 1114, 'session_time': 22}"
"('new-ssid-5', 'new-ssid-2')","{'time': 117, 'session_time': 99}"
"('new-ssid-5', 'new-ssid-2')","{'time': 289, 'session_time': 10}"
